@,,,,,,,,,,,,,,,,,,,,
repeat_type : 반복 여부 false true,,,,,,,,,,,,,,,,,,,,
"condition_type : or은 조건없이 진행, and 는 뒤 해당 조건들을 클리어 시 진행 가능",,,,,,,,,,,,,,,,,,,,
@,,,,,,,,,,,,,,,,,상호작용을 하고 있을 때에는 캐릭터 움직임 및 능력 사용은 금지된다는 전제,,,
@,셀에 숫자만 적을때는 숫자 셀의 서식 -> 숫자 ->일반텍스트로 변경해주세요,,,자동으로 실행되는 이벤트인지,,,,,,,,조건을 만족하지 못할 경우 실행되는 결과,,,반복 조건을 만족하지 못할 경우 실행되는 결과,,,,,
eventId,description,repeatType,conditionType,isAuto,conditionNum1,conditionNum2,conditionNum3,conditionNum4,result1,result2,result3,conditionFalseResult1,conditionFalseResult2,conditionFalseResult3,repeatFalseResult,evidenceId,lockConditionId,locationId,nextEventId,autoSave
Event_B049,책장(정신) 기믹 정답 시,false,and,false,Quiz_005,,,,Evidence_030,,,,,,,,,Location_5,,
Event_B050,거울에 비친 의자(정신) 클릭 시,false,and,false,Event_B045,,,,,,,,,,,Evidence_021,,Location_5,,
Event_B051,거울에 비친 침대(정신) 클릭 시,false,and,false,Event_B045,,,,,,,,,,,Evidence_022,,Location_5,,
Event_B052,깨진 거울(정신) 클릭 시,true,and,false,Event_B045,,,,Quiz_006,,,,,,,,,Location_5,,
Event_B053,깨진 거울(정신) 완성 시,false,and,false,Quiz_006,,,,Event_B067,,,,,,,,,Location_5,,true
Event_B056,라디오(현실) 주파수 정답 시,false,and,false,Quiz_007,,,,,,,,,,,,,Location_4,,
Event_B061,라디오(현실) 주파수 오답 시,true,and,false,!Quiz_007,,,,,,,,,,,,,,,
Event_B057,실험체의 방(정신) 진입 시 - 처음,false,or,false,,,,,Mental_0006,,,,,,,,,,,true
Event_B069,실험체의 방(정신) 진입 시 - 이후,true,and,false,Event_B059,,,,Mental_0010,,,,,,,,,,,
Event_B058,실험체의 방(정신) 입장,true,or,false,,,,,,,,,,,,,,,,
Event_B059,실험체의 방(현실) 진입 시(이후),true,and,false,Event_B045,Event_B053,,,Mental_0007,,,,,,,,,,,
Event_B060,실험체의 방(현실) 입장,true,or,false,,,,,,,,,,,,,,,,
Event_B062,정신세계에서 거울 볼때 힌트 UI,true,or,false,,,,,Effect_014,,,,,,,,Lock_condition_001,Location_5,,
Event_B067,거울 속 npc와의 대화,false,or,false,,,,,Quiz_009,,,,,,,,,,,
Event_B065,거울 속 npc와의 대화 - '네' 선택 시,false,or,false,,,,,Dialogue_0031,Evidence_016,,,,,,,,,,true
Event_B066,거울 속 npc와의 대화 - '아니오' 선택 시,false,or,false,,,,,Dialogue_0032,,,,,,,,,,,true
Event_B068,실험체 방 문(현실)과 상호작용 시 - 정신 갔다 돌아 온 경우,true,and,false,Event_B053,Event_B060,,,Effect_010,,,,,,,,,,,
Event_B070,실험체 방 문(현실)과 상호작용 시 - 정신 아직 안 간 경우,true,and,false,Event_B027,!Event_B058,,,Effect_010,,,,,,,,,,,
Event_B071,거울깨진 후 책장과 상호작용 시 - 거울 조각 획득,false,and,false,Event_B045,,,,,,,,,,,Evidence_019,,,,
,,,,,,,,,,,,,,,,,,,,
Event_C063,실험체의 방에서 라운지로 나감,false,and,false,Event_B060,,,,,,,,,,,,,Location_3,,true
Event_C083,친구 방(현실) 입장,true,and,false,Event_C064,,,,,,,,,,,,,,,true
Event_C064,문 앞 복도 열쇠 상호작용 시,false,and,false,Event_C063,,,,Evidence_025,Effect_015,,,,,,,,Location_3,,
Event_C065,사물함(현실) 상호작용 시,true,and,false,Evidence_025,,,,,,,Dialogue_0033,,,,Evidence_026,,Location_6,,
Event_C082,친구와 상호작용 시,true,and,false,Event_C083,!Event_C068,Evidence_026,,Event_C066,,,Event_C067,,,,,,,,
Event_C066,친구와 상호작용 시 - 딸의 편지 있을 때,false,or,false,,,,,Dialogue_0034,Effect_016,,,,,,,,Location_6,Event_C068,true
Event_C067,친구와 상호작용 시 - 딸의 편지 없을 때,true,or,false,,,,,Dialogue_0035,Effect_016,,,,,,,,Location_6,Event_C068,true
Event_C068,친구의 방 퇴장 시,false,and,false,Event_C082,,,,Effect_063,Effect_017,Dialogue_0036,,,,,,,Location_6,Event_C069,
Event_C069,닥터와 1차 대화 종료 시,false,and,true,Event_C068,,,,Effect_018,Dialogue_0037,,,,,,,Lock_condition_001,Location_6,Event_C070,
Event_C070,닥터와 친구 대화 종료 시,false,and,true,Event_C069,,,,Effect_019,Dialogue_0049,,,,,,,Lock_condition_001,Location_6,Event_C071,
Event_C071,닥터와 2차 대화 종료 시,false,and,true,Event_C070,,,,Effect_028,,,,,,,,Lock_condition_001,Location_6,Event_C072,
Event_C072,닥터와 함께 자고 있는 친구 앞 도착 시,false,and,true,Event_C071,,,,Dialogue_0038,,,,,,,,Lock_condition_001,Location_6,Event_C073,
Event_C073,친구의 방(정신) 진입 시,false,or,true,Event_C072,,,,Effect_029,Mental_0008,,,,,,,Lock_condition_001,Location_7,Event_C074,
Event_C074,친구의 방(정신) 입장,true,or,true,,,,,,,,,,,,,,Location_7,,true
Event_C075,친구의 방(현실) 진입 시(처음),true,and,false,,,,,Mental_0009,,,,,,,,Lock_condition_008,Location_7,,
Event_C076,문(정신) 상호작용 시,true,or,false,,,,,Effect_020,,,,,,,,,Location_7,,
Event_C077,컴퓨터(정신) 상호작용 시,true,or,false,,,,,Effect_021,,,,,,,,,Location_7,,
Event_C078,책장(정신) 상호작용 시,false,or,false,,,,,,,,,,,,Evidence_027,,Location_7,,
Event_C079,벽시계(정신) 상호작용 시,true,or,false,,,,,Quiz_008,,,,,,,,,Location_7,,
Event_C080,벽시계(정신) 기믹 정답 시,false,and,false,Quiz_008,,,,Effect_023,,,,,,,,,Location_7,Event_C081,
Event_C081,벽시계UI 강제 종료 후 - 문 틈 특수 대사,false,and,true,,,,,Effect_060,,,,,,,,Lock_condition_001,Location_7,Event_C084,
Event_C084,문 틈 다이얼로그 종료 후,false,and,true,Event_C081,,,,Effect_024,,,,,,,,Lock_condition_001,Location_7,,
,,,,,,,,,,,,,,,,,,,,
Event_D085,암전 이벤트 진행,false,or,true,,,,,Dialogue_0057,,,,,,,,Lock_condition_001,,Event_D086,
Event_D086,암전 후 주인공 깨어 남,false,or,true,,,,,Effect_032,,,,,,,,Lock_condition_001,,Event_D087,
Event_D087,주인공 방(정신) 일어 남,false,or,true,,,,,Dialogue_0058,,,,,,,,Lock_condition_001,,,true
Event_D088,단체 사진 상호작용 시,false,or,false,,,,,Evidence_028,,,,,,,,,,,
Event_D089,주인공의 일기 상호작용 시,false,or,false,,,,,Evidence_029,,,,,,,,,,,
Event_D090,엘리즈 상호작용 시,false,or,false,,,,,Dialogue_0059,Effect_034,Dialogue_0060,,,,,,Lock_condition_001,,Event_D091,true
Event_D091,엘리즈 상호작용 완료 후,false,or,true,,,,,Effect_036,,,,,,,,Lock_condition_001,,Event_D093,
Event_D093,경고문 생성,false,and,true,Event_D091,,,,Effect_038,,,,,,,,Lock_condition_001,,,
Event_D094,첫 리스폰 위치 가는 중,false,and,false,Event_D091,,,,Effect_040,,,,,,,,Lock_condition_009,,Event_D095,
Event_D095,맵 끝에 도착 시,false,and,false,Event_D091,Event_D093,,,Effect_039,Effect_064,Effect_041,,,,,,Lock_condition_001,,Event_D096,
Event_D096,주인공 방(정신) 문 앞 도착 시,false,and,true,,,,,Effect_044,Effect_045,,,,,,,Lock_condition_001,,Event_D097,
Event_D097,엘리즈와 인사 후,false,and,true,,,,,Effect_024,,,,,,,,Lock_condition_001,,,
Event_D098,주인공 방(현실) 도착,false,and,true,,,,,Dialogue_0070,Effect_046,,,,,,,Lock_condition_001,,Event_D099,true
Event_D099,주인공 방(현실) 도착 후,false,and,true,,,,,Dialogue_0062,Effect_048,,,,,,,Lock_condition_001,,,
Event_D100,[진엔딩]레이 등장,false,and,true,Event_D099,Event_C066,,,Effect_049,Dialogue_0061,Effect_050,,,,,,Lock_condition_001,,Event_D101,
Event_D101,[진엔딩]주인공 방(현실) 탈출 시,false,and,true,,,,,Effect_052,Effect_024,,,,,,,,,,
Event_D102,[일반 엔딩] 닥터와 접촉,false,and,true,Event_D099,Event_C067,,,Effect_053,Dialogue_0066,Effect_054,,,,,,Lock_condition_001,,,
Event_D103,[일반 엔딩] 탈출 성공,false,and,true,Event_D102,Event_B065,Evidence_016,,Effect_057,Effect_058,,,,,,,,,,
Event_D104,[일반 엔딩] 탈출 실패,false,and,true,Event_D102,Event_B066,!Evidence_016,,Effect_055,Effect_058,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Event_E105,시작 크레딧,false,or,true,,,,,Dialogue_0063,Effect_059,,,,,,,,,,
Event_E106,엔딩 크레딧,false,and,true,Event_D101,Event_D103,Event_D104,,,,,,,,,,,,,
