Effect_025,sound,라디오소리,라디오 기믹 정답시 소리,,Soundresource_049
Effect_026,sound,라디오 틀렸을때,라디오 기믹 틀렸을때 소리 실행,,Soundresource_001
Effect_027,sound,카드키 비밀번호 오답,비밀번호 오답시,,Soundresource_055
Effect_028,timeline,NPC이동3,닥터가 주인공을 데리고(닥터가 앞장 서며) 자고 있는 친구의 침대 앞까지 이동함,Artresource_0051,
Effect_029,timeline,강제 정신세계입장,강제 정신세계입장 ui 게이지 차고 씬이동,Artresource_0052,
Effect_030,sound,틀린카드키 소리,틀린 카드키 소리,,Soundresource_084
Effect_031,sound,딸이 부르는 소리,딸이 주인공을 작게 부름,,Soundresource_095
Effect_032,timeline,주인공 기상,주인공 눈 뜨기,Artresource_0053,
Effect_033,sound,닥터의 환호,닥터가 환호함,,Soundresource_096
Effect_034,timeline,주인공 이동1,주인공이 묶여 있는 엘리즈로부터 한 발짝 뒷 걸음질 치고 전선을 살핌,Artresource_0056,
Effect_035,sound==>일단뺌,닥터의 절규,닥터가 소리지르며 절규함,,Soundresource_090
Effect_036,ui,정신세계 흔들림,"3초간 화면이 좌우로 흔들리며, 등불이 깜빡 거림 + 사이렌 소리",Artresource_0057,Soundresource_098
Effect_037,animation,문 붕괴,원래 나가야할(닥터가 있던) 문이 연기와 함께 무너짐,Artresource_0058,Soundresource_099
Effect_038,particle + timeline,경고문 생성,주인공의 정신세계에 일부 경고문 생성됨 + 카메라 시점 변경,Artresource_0059,
Effect_039,timeline,주인공 넘어짐,주인공이 벽에 부딛혀 자리에 넘어짐,Artresource_0060,
Effect_040,ui,점차 화면 암전,딸이 있는 방에서 나와 첫 리스폰 지역으로 갈때(주인공 일기) 위치에서 부터 서서히 암전,Artresource_0061,
Effect_041,timeline,엘리즈의 안내,넘어져있는 주인공을 주인공의 방까지 안내해줌 + 카메라 시점 변경,Artresource_0062,
Effect_042,timeline,문 열림,주인공 방(정신) 문 열림,Artresource_0063,
Effect_043,timeline,카메라 시점 변경,주인공 방 문 반대편 벽에 카메라가 주인공과 엘리즈 뒷 모습을 보여줌,Artresource_0064,
Effect_044,timeline,주인공 이동2,주인공만 방으로 들어가다가 뒤돌아 보며 엘리즈를 바라봄,Artresource_0065,
Effect_045,timeline,1인칭 시점 변경,"주인공의 시점으로 카메라 변경, 엘리즈는 손을 흔들어 배웅(3초)",Artresource_0066,
Effect_046,timeline,침대에서 기상,주인공이 침대에서 벌떡 일어남,Artresource_0067,
Effect_047,timeline,문 열림,주인공 방 문(현실)이 열리며 닥터 등장하며 안으로 들어옴,Artresource_0068,
Effect_048,timeline,주인공 이동3,주인공이 방 중앙까지 뒷걸음질 ,Artresource_0069,
Effect_049,timeline,레이 등장,레이가 뒤에서 닥터를 밀어 넘어뜨림,Artresource_0070,
Effect_050,timeline,주인공 이동4,레이가 주인공 앞으로 와 주인공의 양팔을 잡고 도망치라며 문 앞으로 함께 이동 ,Artresource_0071,
Effect_051,sound,실험체 소리,실험체가 주인공을 부르는 소리,,Soundresource_100
Effect_052,timeline,주인공 이동5,주인공이 방을 나와 복도 끝으로 달림,Artresource_0072,
Effect_053,timeline,주인공 이동6,주인공이 닥터를 밀쳐 넘어뜨림 ,Artresource_0073,
Effect_054,timeline,닥터 밀기,주인공이 박사를 피해 밖으로 나감 + 문닫힘,Artresource_0074,
Effect_055,timeline,일반 엔딩1,복도 끝까지 도달하지만 문이 닫혀있어 나가지 못 하고 멈춤.,Artresource_0075,
Effect_056,timeline,일반 엔딩2," 문 쪽을 바라보는 주인공의 뒷통수가 보이는 시점에서, 화면에 닥터가 보이진 않지만 닥터의 발소리가 천천히 들림",Artresource_0076,
Effect_057,timeline,일반 엔딩3,복도 끝에서 실험체가 부르는 소리를 듣고 그대로 복도 끝으로 달려 탈출,Artresource_0077,
Effect_058,UI,엔딩 크레딧,암전 후 엔딩 보여주기,Artresource_0078,
Effect_059,UI,시작,검은 화면에 시작 후 2초 후 다이얼로그 시작,,
Effect_060,timeline,문틈 대사 출력,월드 UI로 대사 출력,Artresource_0079,
Effect_061,timeline,인트로씬 이후 플레이어 동작 ,"프롤로그 화면이 켜지고. 주인공이 고개를 들어 닥터를 보고, 혼란스러운 듯이 약간 뒷걸음질하며 주변을 살짝 두리번 거림",Artresource_0080,
Effect_062,UI,암전해제 후 ,암전해제 후 빠른 흰 화면 후에 fadeout,Artresource_0081,
