Dialogue_0024,radio,interact,object,(치지직…),,
,,,,…팔레트 시 병원에서 11살로 추정되는 신원 미상의 아이가 한 명 사라졌다는 소식입니다.,,
,,,,"현재까지 아이를 목격한 사람은 없으며, 수색 작업에도 진전이 없는 상황입니다.",,
,,,,(치익…),,
,,,,병원 측은 해당 사건에 대해 책임을 회피하려는 모습을 보이고 있습니다.,,
,,,,계속해서 뉴스를 주시하며 추가 정보를 전해드리겠습니다.,,
,,,,(틱.),,
Dialogue_0025,(나),interact,object,함부로 열면 안될 것 같다. ►,,
Dialogue_0026,(다프네),auto,npc,기껏 도와주려 했더니. ►,,
,(다프네),,,제대로 확인하지도 않고 나가려고? ►,,
,(다프네),,,그건 안 되지. ►,,
Dialogue_0027,radio,auto,object,(웅웅…),,
,,,,그 셋은 항상 붙어 다녔다.,,
,,,,"웃고, 떠들고, 서로를 의지하던 모습.",,
,,,,…닥터는 어느 순간부터,,
,,,,그 아이를 향해 특별하다고 말했다.,,
,,,,실험실로 들어가는 아이의 긴장한 얼굴.,,
,,,,그 뒤엔 다시 또 닥터의 목소리.,,
,,,,(치지직...),,
,,,,아이를 도울 수 있는 건,,
,,,,단 한 사람뿐이지만 그는 지금…,,
,,,,(틱…),,
Dialogue_0028,radio,auto,object,(웅웅…),,
,,,,우리는 항상 붙어 다녔다.,,
,,,,"웃고, 떠들고, 서로를 의지했는데.",,
,,,,"…그 애는 어느 순간부터,",,
,,,,나를 향해 돌아서지 않았다.,,
,,,,연구소로 떠나는 나의 마지막 목소리.,,
,,,,그 뒤엔 그 애의 알 수 없는 얼굴.,,
,,,,(치지직…),,
,,,,도망쳐 닿을 곳은,,
,,,,단 한 곳뿐이지만 나는 지금...,,
,,,,(틱…),,
Dialogue_0029,(닥터 로만),interact,npc,첫 번째 세션은 끝입니다. 나가보세요. ►,,
Dialogue_0030,mirror,auto,npc,…네 생각은 어때? 넌… 내가 나가야 한다고 생각하니? ►,,
Dialogue_0031,(다프네),auto,npc,"고마워. 그래, 함께 탈출하자. ►",,
,(다프네),,,이걸 가져가. 너에게 도움이 될 것 같아. ►,,
Dialogue_0032,(다프네),auto,npc,역시… 그렇겠지. ►,,
,(다프네),,,그래. 괜히 괴롭혀서 미안. 이제 나가 봐. ►,,
Dialogue_0033,,interact,object,잠겨있는 듯하다. ►,,
Dialogue_0034,(레이),interact,npc,"...네가 어떻게?\n너, 그 애를 기억하는 거야? ►",Dialogue_0055,
Dialogue_0055,(나),interact,npc,... ►,Dialogue_0056,
Dialogue_0056,(레이),interact,npc,"하하, 내가 건드리지도 못한 편지에\n이런 말이 남겨져 있었다니... ►",,
,,,,난... 어떻게 해야하지? ►,,
Dialogue_0035,(레이),interact,npc,...오랜만이네. 잘 지냈어? ►,Dialogue_0053,
Dialogue_0053,(나),interact,npc,... ►,Dialogue_0054,
Dialogue_0054,(레이),interact,npc,"정말 기억을 못 하는구나.\n나도, 그날의 일도, 그 애도. ►",,
,(레이),,,네 탓이 아닌 거 알아.\n하지만... ►,,
,(레이),,,그래. 넌 그 기억 속으로 돌아가야만 해.\n모든 답은 거기에 있을테니까. ►,,
Dialogue_0036,(닥터 로만),auto,npc,...마지막 세션을 진행할 때가 되었나 보군요. ►,,
,(닥터 로만),,,좋습니다. 잠시 기다리시죠. ►,,
Dialogue_0037,(닥터 로만),auto,npc,계획을 실행하자. 준비하렴. ►,Dialogue_0050,
Dialogue_0050,(레이),auto,npc,"...정말 이 방법뿐일까요?\n좀 더 시간을 갖고 준비해볼 수도, ►",Dialogue_0051,
Dialogue_0051,(닥터 로만),auto,npc,시간? 시간이라고 했나?\n난 이미 충분히 기다렸어. ►,Dialogue_0052,
,(닥터 로만),,,더 지체했다가 엘리즈에게 무슨 일이라도 생기면.\n책임질 수 있나? ►,,
Dialogue_0052,(레이),auto,npc,...알겠어요. ►,,
Dialogue_0038,(닥터 로만),auto,npc,그의 정신 세계에 진입하세요. ►,,
Dialogue_0039,(닥터 로만),auto,npc,벌써 잊은 건가요! ►,,
,(닥터 로만),,,너는 아직 나갈 수 없어... ►,,
Dialogue_0040,,auto,object,"...실험 시작하겠습니다.\nA-505, 능력 사용 준비해주세요.",,
,,,,...네.,,
,,,,(우우웅-),,
,,,,정신 세계 진입 완료.\n목표물인 금고가 보입니다.,,
,,,,"A-505, 금고를 열어\n내용물을 제거하십시오.",,
,,,,(...),,
,,,,"헉,",,
,,,,(삐- 삐- 삐- 삐- 삐-),,
,,,,무슨 일이지?!,,
,,,,"닥터! 문제가 발생했습니다!\n정신 세계가, 현실과... 으아악!",,
,,,,"그만해! 아이를 구해야 해요!\n조금만 기다려, 내가 도와줄게!",,
,,,,(...),,
,,,,"안돼... 엘리즈, 엘리즈!",,
Dialogue_0041,,interact,object,노란색 카드 키를 획득했습니다. ►,,
Dialogue_0042,,interact,object,노란색 카드 키를 반납했습니다. ►,,
Dialogue_0043,,interact,object,파란색 카드 키를 획득했습니다. ►,,
Dialogue_0044,,interact,object,파란색 카드 키를 반납했습니다. ►,,
Dialogue_0045,,interact,object,초록색 카드 키를 획득했습니다. ►,,
Dialogue_0046,,interact,object,초록색 카드 키를 반납했습니다. ►,,
Dialogue_0047,,interact,object,빨간색 카드 키를 획득했습니다. ►,,
Dialogue_0048,,interact,object,빨간색 카드 키를 반납했습니다. ►,,
Dialogue_0049,(닥터 로만),auto,npc,"자, 따라오세요. ►",,
Dialogue_0057,(엘리즈 레인),auto,npc,...아이야. ►,,
,(엘리즈 레인),,,... ►,,
,(엘리즈 레인),,,...일어나... ►,,
,(엘리즈 레인),,,일어나야 해... ►,,
Dialogue_0058,(닥터 로만),auto,npc,하... 하하! 드디어... 드디어 성공했구나! ►,,
,(나),,,...여긴... ►,,
,(닥터 로만),,,멍청하긴... 네 정신 세계 안이지.\n바로 너 때문에... 내 딸 엘리즈가 갇혀있는! ►,,
,(나),,,... ►,,
,(닥터 로만),,,뭘 멍하니 서있는 거야? 어서... 어서 엘리즈를 찾아.\n지금 당장! ►,,
Dialogue_0059,(닥터 로만),auto,npc,"엘리즈...! 괜찮, 괜찮니?\n내 말이... 들리니? ►",,
,(엘리즈),,,... ►,,
,(닥터 로만),,,"...의식이 없다니.\n안돼, 안돼... ►",,
,(닥터 로만),,,"지체할 시간이 없어.\n출구로 당장, 엘리즈를 데리고 나와. ►",,
Dialogue_0060,,auto,npc,(파지직!) ►,,
,(나),,,...전선을 풀어낼 수가 없다. ►,,
,(닥터 로만),,,"이럴 수가...\n말도 안돼, 말도 안돼! ►",,
,(닥터 로만),,,엘리즈! ►,,
Dialogue_0061,(레이),auto,npc,"아이야, 도망쳐! 빨리...! ►",,
Dialogue_0062,(닥터 로만),auto,npc,감히... 너만... ►,,
Dialogue_0066,(닥터 로만),auto,,"윽, 안돼! ►",,
Dialogue_0063,,auto,npc,게임 시작 시 대사(수정중) ►,,
Dialogue_0064,,interact,object,이 아이템을 사용할 수 없습니다. ►,,
Dialogue_0065,,interact,object,거울 조각을 습득하였습니다. ►,,
