#,text_detail_img_cnt 는 텍스트 장 수 표시,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,셀에 숫자만 적을때는 숫자 셀의 서식 -> 숫자 ->일반텍스트로 변경해주세요,,,인벤토리 창에 보일 증거물 이미지,인벤토리 창에 보일 증거물 디테일 이미지,증거물 상세 내용에서 사용할 프리팹,맵에서 획득한 증거물의 상세 내용 배경 이미지,상세 내용 콘텐츠의 배경 이미지(책 커버 등),상세 이미지 시작 위치,상세 이미지 장수
artresourceId,artresourceName,artresourceType,filePath,filePathInventoryThumbnail,filePathInventoryDetail,filePathEvidencePrefab,filePathMapBackground,filePathContentBackground,filePathStartPage,pageCnt
Artresource_0016,쪽지1,Evidence,,"""Evidence/InventoryThumbnail/Stage1/UI_Stage2_Clue_Memo""","""Evidence/InventoryDetail/Stage1/UI_Clue_Note_02""","""Evidence/Detail/Prefab/Stage2/Prefab_Clue_Stage2_Memo""","""Evidence/Detail/Background/Lounge/Map_Background_Lounge_Memo""",,,
Artresource_0017,라운지 카드 키1,라운지 카드 키1,,"""Evidence/InventoryThumbnail/Prologue/UI_Clue_KeyCard_Yellow""","""Evidence/InventoryDetail/Prologue/UI_Clue_KeyCard_Yellow""","""Evidence/Detail/Prefab/Prologue/Prefab_Clue_KeyCard_Yellow""",,,,
Artresource_0018,라운지 카드 키2,라운지 카드 키2,,"""Evidence/InventoryThumbnail/Prologue/UI_Clue_KeyCard_Blue""","""Evidence/InventoryDetail/Prologue/UI_Clue_KeyCard_Blue""","""Evidence/Detail/Prefab/Prologue/Prefab_Clue_KeyCard_Blue""",,,,
Artresource_0019,라운지 카드 키3,라운지 카드 키3,,"""Evidence/InventoryThumbnail/Prologue/UI_Clue_KeyCard_Green""","""Evidence/InventoryDetail/Prologue/UI_Clue_KeyCard_Green""","""Evidence/Detail/Prefab/Prologue/Prefab_Clue_KeyCard_Green""",,,,
Artresource_0020,라운지 카드 키4,라운지 카드 키4,,"""Evidence/InventoryThumbnail/Prologue/UI_Clue_KeyCard_Red""","""Evidence/InventoryDetail/Prologue/UI_Clue_KeyCard_Red""","""Evidence/Detail/Prefab/Prologue/Prefab_Clue_KeyCard_Red""",,,,
Artresource_0021,카드 키 UI,UI,,,,,,,,
Artresource_0022,비밀번호 UI,UI,,,,,,,,
Artresource_0023,편지2,Evidence,,"""Evidence/InventoryThumbnail/Stage1/UI_Clue_Letter_02""","""Evidence/InventoryDetail/Stage1/UI_Clue_Letter_02""",,"""Evidence/Detail/Background/Stage1/Map_Background_Letter02""",,"""Evidence/Detail/Content/Stage1/Letter/UI_Clue_Letter_00""",2
Artresource_0024,도면 1,Evidence,,"""Evidence/InventoryThumbnail/Stage1/UI_Clue_BluePrint""","""Evidence/InventoryDetail/Stage1/UI_Clue_BluePrint""","""Evidence/Detail/Prefab/Stage1/Prefab_Clue_Blueprint""","""Evidence/Detail/Background/Stage1/Map_Background_BluePrint01""",,,
Artresource_0025,깨진 창문,BG / UI,,,,,,,,
Artresource_0026,그림 1,Evidence,,"""Evidence/InventoryThumbnail/Stage1/UI_Clue_Picture""","""Evidence/InventoryDetail/Stage1/UI_Clue_Picture""","""Evidence/Detail/Prefab/Stage1/Prefab_Clue_Picture""","""Evidence/Detail/Background/Stage1/Map_Background_Drawing01""",,,
Artresource_0027,거울 조각 1,Evidence,,"""Evidence/InventoryThumbnail/Stage1/UI_Clue_Mirror_Piece_01""","""Evidence/InventoryDetail/Stage1/UI_Clue_Detail_Mirror_Piece_01""","""Evidence/Detail/Prefab/Stage1/SM_Stage1_prop_Mirror_Broken_piece_CenterPivot_01""","""Evidence/Detail/Background/Stage1/Map_Background_BrokenMirror01""",,,
Artresource_0028,거울 조각 2,Evidence,,"""Evidence/InventoryThumbnail/Stage1/UI_Clue_Mirror_Piece_02""","""Evidence/InventoryDetail/Stage1/UI_Clue_Detail_Mirror_Piece_02""","""Evidence/Detail/Prefab/Stage1/SM_Stage1_prop_Mirror_Broken_piece_CenterPivot_02""","""Evidence/Detail/Background/Stage1/Map_Background_Letter02""",,,
Artresource_0029,거울 조각 3,Evidence,,"""Evidence/InventoryThumbnail/Stage1/UI_Clue_Mirror_Piece_03""","""Evidence/InventoryDetail/Stage1/UI_Clue_Detail_Mirror_Piece_03""","""Evidence/Detail/Prefab/Stage1/SM_Stage1_prop_Mirror_Broken_piece_CenterPivot_03""","""Evidence/Detail/Background/Stage1/Map_Background_BrokenMirror03""",,,
Artresource_0030,거울 조각 4,Evidence,,"""Evidence/InventoryThumbnail/Stage1/UI_Clue_Mirror_Piece_04""","""Evidence/InventoryDetail/Stage1/UI_Clue_Detail_Mirror_Piece_04""","""Evidence/Detail/Prefab/Stage1/SM_Stage1_prop_Mirror_Broken_piece_CenterPivot_04""","""Evidence/Detail/Background/Stage1/Map_Background_BrokenMirror04""",,,
Artresource_0031,거울 조각 5,Evidence,,"""Evidence/InventoryThumbnail/Stage1/UI_Clue_Mirror_Piece_05""","""Evidence/InventoryDetail/Stage1/UI_Clue_Detail_Mirror_Piece_05""","""Evidence/Detail/Prefab/Stage1/SM_Stage1_prop_Mirror_Broken_piece_CenterPivot_05""","""Evidence/Detail/Background/Stage1/Map_Background_BrokenMirror05""",,,
Artresource_0032,라디오 기믹 UI,UI,,,,,,,,
Artresource_0033,책장 UI,UI,,,,,,,,
Artresource_0034,원래 창문,BG,,,,,,,,
Artresource_0035,책장 정답 UI,UI,,,,,,,,
Artresource_0036,파일철 1,Evidence,,"""Evidence/InventoryThumbnail/Stage1/UI_Clue_HospitalLog""","""Evidence/InventoryDetail/Stage1/UI_Clue_HospitalLog""",,"""Evidence/Detail/Background/Stage1/Map_Background_File01""","""Evidence/Detail/ContentBackground/UI_Stage1_HospitalLog_Background""","""Evidence/Detail/Content/Stage1/File/UI_Clue_HospitalLog_page_00""",2
Artresource_0037,실험체의 수첩,Evidence,,"""Evidence/InventoryThumbnail/Stage1/UI_Clue_SubjectsDiary_R""","""Evidence/InventoryDetail/Stage1/UI_Clue_SubjectsDiary_R""",,"""Evidence/Detail/Background/Stage1/Map_Background_Note""","""Evidence/Detail/ContentBackground/Stage1_UI_Clue_SubjectsDiary_BG""","""Evidence/Detail/Content/Stage1/Note_R/UI_Clue_Note_00""",2
Artresource_0038,사물함 열쇠,Evidence,,"""Evidence/InventoryThumbnail/Stage2/UI_Stage2_Clue_Key""","""Evidence/InventoryDetail/Stage2/UI_Stage2_Clue_Key""","""Evidence/Detail/Prefab/Stage2/Prefab_Clue_Stage2_Key""","""Evidence/Detail/Background/Lounge/Map_Background_Lounge_Key""",,,
Artresource_0039,딸의 편지,Evidence,,"""Evidence/InventoryThumbnail/Stage2/UI_Stage2_Clue_Letter""","""Evidence/InventoryDetail/Stage2/UI_Stage2_Clue_Letter""",,"""Evidence/Detail/Background/Stage2/Map_Background_Stage2_Letter""",,"""Evidence/Detail/Content/Stage2/Letter/UI_Stage2_Clue_Detail_Letter_00""",1
Artresource_0040,닥터 모습,BG,,,,,,,,
Artresource_0041,컴퓨터 UI,UI,,,,,,,,
Artresource_0042,닥터의 수첩,Evidence,,"""Evidence/InventoryThumbnail/Stage2/UI_Stage2_Clue_DoctorsDiary""","""Evidence/InventoryDetail/Stage2/UI_Stage2_Clue_DoctorsDiary""",,"""Evidence/Detail/Background/Stage2/Map_Background_Stage2_Diary""","""Evidence/Detail/ContentBackground/UI_Clue_Diary_Background""","""Evidence/Detail/Content/Stage2/Diary/UI_Clue_Dr_Diary_00""",8
Artresource_0043,벽시계UI,UI,,,,,,,,
Artresource_0044,암전,UI,,,,,,,,
Artresource_0045,닥터 NPC생성,,,,,,,,,
Artresource_0046,주인공 캐릭터가 닥터 쪽을 바라봄,,,,,,,,,
Artresource_0047,NPC 이동,CutScene,,,,,,,,
Artresource_0048,NPC 이동2,CutScene,,,,,,,,
Artresource_0049,문(실험체의 방) 열리는 애니메이션,Animation,,,,,,,,
Artresource_0050,카메라가 문을 비추고 문이열림,CutScene,,,,,,,,
Artresource_0051,NPC 이동3,CutScene,,,,,,,,
Artresource_0052,강제 정신세계입장 ui 게이지 차고 씬이동,CutScene,,,,,,,,
Artresource_0053,주인공 기상,CutScene,,,,,,,,
Artresource_0054,단체 사진,Evidence,,"""Evidence/InventoryThumbnail/StageFinal/UI_Clue_GroupPhoto""","""Evidence/InventoryDetail/StageFinal/UI_Clue_Detail_GroupPhoto""","""Evidence/Detail/Prefab/StageFinal/Prefab_Prop_Clue_GroupPhoto""","""Evidence/Detail/Background/FinalStage/Map_Background_FinalStage_GroupPhoto""",,,
Artresource_0055,주인공의 일기,Evidence,,"""Evidence/InventoryThumbnail/StageFinal/UI_Clue_Diary_main""","""Evidence/InventoryDetail/StageFinal/UI_Clue_Detail_Diary_Main""",,"""Evidence/Detail/Background/FinalStage/Map_Background_FinalStage_Diary""","""Evidence/Detail/ContentBackground/UI_Clue_Diary_Background""","""Evidence/Detail/Content/FinalStage/Diary/UI_Clue_Diary_Paper_00""",8
Artresource_0056,주인공 이동1,Animation,,,,,,,,
Artresource_0057,정신세계 흔들림,UI,,,,,,,,
Artresource_0058,문 붕괴,Animation,,,,,,,,
Artresource_0059,주인공의 정신세계(+경고문 추가된),BG,,,,,,,,
Artresource_0060,주인공 넘어짐,Animation,,,,,,,,
Artresource_0061,점차 화면 암전,UI,,,,,,,,
Artresource_0062,엘리즈의 안내,Animation,,,,,,,,
Artresource_0063,주인공 방 문(정신) 열림,CutScene,,,,,,,,
Artresource_0064,카메라 시점 변경,CutScene,,,,,,,,
Artresource_0065,주인공 이동2,CutScene,,,,,,,,
Artresource_0066,엘리즈의 배웅,Animation,,,,,,,,
Artresource_0067,침대에서 기상,CutScene,,,,,,,,
Artresource_0068,주인공 방 문(현실) 열림,CutScene,,,,,,,,
Artresource_0069,주인공 이동3--> 삭제,CutScene,,,,,,,,
Artresource_0070,레이 등장,CutScene,,,,,,,,
Artresource_0071,주인공 이동4,CutScene,,,,,,,,
Artresource_0072,주인공 이동5,CutScene,,,,,,,,
Artresource_0073,주인공 이동6,CutScene,,,,,,,,
Artresource_0074,닥터 밀기,CutScene,,,,,,,,
Artresource_0075,일반 엔딩1,CutScene,,,,,,,,
Artresource_0076,일반 엔딩2,CutScene,,,,,,,,
Artresource_0077,일반 엔딩3,CutScene,,,,,,,,
Artresource_0078,엔딩 크레딧,UI,,,,,,,,
Artresource_0079,월드UI로 대사 출력,CutScene,,,,,,,,
Artresource_0080,인트로씬 이후 플레이어 동작,CutScene,,,,,,,,
Artresource_0081,암전이후  빠른 흰색화면 -> fade아웃,UI,,,,,,,,
Artresource_0082,문에 닿으면 밖으로 자동 이동,ForceMove,,,,,,,,
Artresource_0083,실험체의 수첩,Evidence,,"""Evidence/InventoryThumbnail/Stage1/UI_Clue_SubjectsDiary_M""","""Evidence/InventoryDetail/Stage1/UI_Clue_SubjectsDiary_M""",,"""Evidence/Detail/Background/Stage1/Map_Background_Note""","""Evidence/Detail/ContentBackground/Stage1_UI_Clue_SubjectsDiary_BG""","""Evidence/Detail/Content/Stage1/Note_M/UI_Clue_Note_00""",4
Artresource_0084,딸등장,CutScene,,,,,,,,
