Key,English(en),Korean(ko)
Dialogue_Local_077,,시간? 시간이라고 했나?\n난 이미 충분히 기다렸어. ►
Dialogue_Local_078,,더 지체했다가 엘리즈에게 무슨 일이라도 생기면.\n책임질 수 있나? ►
Dialogue_Local_079,,...알겠어요. ►
Dialogue_Local_080,,그의 정신 세계에 진입하세요. ►
Dialogue_Local_081,,벌써 잊은 건가요! ►
Dialogue_Local_082,,너는 아직 나갈 수 없어... ►
Dialogue_Local_083,,"...실험 시작하겠습니다.\nA-505, 능력 사용 준비해주세요."
Dialogue_Local_084,,...네.
Dialogue_Local_085,,(우우웅-) 정신 세계 진입 완료.\n목표물인 금고가 보입니다.
Dialogue_Local_086,,"A-505, 금고를 열어\n내용물을 제거하십시오."
Dialogue_Local_087,,(...)
Dialogue_Local_088,,"헉,"
Dialogue_Local_089,,(삐- 삐- 삐- 삐- 삐-)
Dialogue_Local_090,,무슨 일이지?!
Dialogue_Local_091,,"닥터! 문제가 발생했습니다!\n정신 세계가, 현실과... 으아악!"
Dialogue_Local_092,,"그만해! 아이를 구해야 해요!\n조금만 기다려, 내가 도와줄게!"
Dialogue_Local_093,,(...)
Dialogue_Local_094,,"안돼... 엘리즈, 엘리즈!"
Dialogue_Local_095,,노란색 카드 키를 획득했습니다. ►
Dialogue_Local_096,,노란색 카드 키를 반납했습니다. ►
Dialogue_Local_097,,파란색 카드 키를 획득했습니다. ►
Dialogue_Local_098,,파란색 카드 키를 반납했습니다. ►
Dialogue_Local_099,,초록색 카드 키를 획득했습니다. ►
Dialogue_Local_100,,초록색 카드 키를 반납했습니다. ►
Dialogue_Local_101,,빨간색 카드 키를 획득했습니다. ►
Dialogue_Local_102,,빨간색 카드 키를 반납했습니다. ►
Dialogue_Local_103,,"자, 따라오세요. ►"
Dialogue_Local_104,,...아이야. ►
Dialogue_Local_105,,... ►
Dialogue_Local_106,,...일어나... ►
Dialogue_Local_107,,일어나야 해... ►
Dialogue_Local_108,,하... 하하! 드디어... 드디어 성공했구나! ►
Dialogue_Local_109,,...여긴... ►
Dialogue_Local_110,,"멍청하긴... 네 정신 세계 안이지.\n바로 너 때문에,내 딸 엘리즈가 갇혀있는! ►"
Dialogue_Local_111,,... ►
Dialogue_Local_112,,뭘 멍하니 서있는 거야? 어서... 어서 엘리즈를 찾아.\n지금 당장! ►
Dialogue_Local_113,,"엘리즈...! 괜찮, 괜찮니?\n내 말이... 들리니? ►"
Dialogue_Local_114,,... ►
Dialogue_Local_115,,"...의식이 없다니.\n안돼, 안돼... ►"
Dialogue_Local_116,,"지체할 시간이 없어.\n출구로 당장, 엘리즈를 데리고 나와. ►"
Dialogue_Local_117,,(파지직!) ►
Dialogue_Local_118,,...전선을 풀어낼 수가 없다. ►
Dialogue_Local_119,,"이럴 수가...\n말도 안돼, 말도 안돼! ►"
Dialogue_Local_120,,엘리즈! ►
Dialogue_Local_121,,도망쳐! 빨리! ►
Dialogue_Local_122,,감히... 너만... ►
Dialogue_Local_123,,"윽, 안돼! ►"
Dialogue_Local_124,,게임 시작 시 대사(수정중) ►
Dialogue_Local_125,,이 아이템을 사용할 수 없습니다. ►
Dialogue_Local_126,,거울 조각을 습득하였습니다. ►
Dialogue_Local_127,,... ►
